date,index1,index2,loss_profits,pred_date,prediction,real,0.562992126,4.074825184,-5.20229358
2018-04-17,314.4,315.35,0.950000019,2018-04-24,0.049595941,0.302162856,,,
2018-04-18,317.6,312.9499998,4.650000162,2018-04-25,-1.456919909,-1.464105844,,,
2018-04-19,319,317.45,1.550000036,2018-04-26,-1.179166317,-0.485893428,,,
2018-04-20,316.9,320.1500001,-3.250000086,2018-04-27,-1.113487005,1.025560141,,,
2018-04-23,317.1,321.65,-4.550000002,2018-04-30,-0.727445304,1.434878588,,,
2018-04-24,315.35,321.6499999,6.299999873,2018-05-01,0.098100848,1.997780204,,,
2018-04-25,312.95,319.7500001,6.800000148,2018-05-02,0.459756047,2.172871113,,,
2018-04-26,317.45,318,0.550000021,2018-05-03,1.462908745,0.173255637,,,
2018-04-27,320.15,316.4499998,-3.700000164,2018-05-04,0.802815855,-1.155708313,,,
2018-04-30,321.65,316.4500001,5.199999923,2018-05-07,-1.894049406,-1.616664052,,,
2018-05-01,321.65,314.0499997,7.600000271,2018-05-08,-1.905061483,-2.362816811,,,
2018-05-02,319.75,314.0499999,5.700000104,2018-05-09,-1.912014604,-1.782642722,,,
2018-05-03,318,315.8500001,2.149999945,2018-05-10,-2.858994722,-0.676100612,,,
2018-05-04,316.45,317.65,-1.200000033,2018-05-11,-1.243767023,0.379206836,,,
2018-05-07,316.45,316.85,-0.399999995,2018-05-14,-0.135972932,0.126402274,,,
2018-05-08,314.05,313.75,0.299999995,2018-05-15,-0.097237766,-0.095526189,,,
2018-05-09,314.05,314.9,0.850000002,2018-05-16,1.419355512,0.270657539,,,
2018-05-10,315.85,313.4,-2.449999982,2018-05-17,1.546808243,-0.775684655,,,
2018-05-11,317.65,314.75,-2.899999999,2018-05-18,0.619975567,-0.912954509,,,
2018-05-14,316.85,315.0999999,-1.750000058,2018-05-21,0.801860273,-0.552311838,,,
2018-05-15,313.75,315.1,1.35000004,2018-05-22,0.723842084,0.430278897,,,
2018-05-16,314.9,317.1499999,2.249999947,2018-05-23,1.243227363,0.714512527,,,
2018-05-17,313.4,316.5499999,3.149999876,2018-05-24,1.069007158,1.005105257,,,
2018-05-18,314.75,317.2999999,2.549999928,2018-05-25,0.966056108,0.810166776,,,
2018-05-21,315.1,318.1,2.999999984,2018-05-28,0.995404899,0.9520787,,,
2018-05-22,315.1,314.9,-0.199999999,2018-05-29,0.684498131,-0.063471913,,,
2018-05-23,317.15,307.5499997,-9.600000286,2018-05-30,1.71725893,-3.026958942,,,
2018-05-24,316.55,309.1499997,-7.400000323,2018-05-31,1.71174562,-2.337703466,,,
2018-05-25,317.3,311.4,-5.899999996,2018-06-01,0.634981692,-1.859439015,,,
2018-05-28,318.1,313.15,-4.950000018,2018-06-04,0.33651939,-1.556114435,,,
2018-05-29,314.9,313.75,1.150000013,2018-06-05,-0.217986181,-0.365195304,,,
2018-05-30,307.55,313.7499999,6.199999855,2018-06-06,3.129248142,2.015932322,,,
2018-05-31,309.15,316.8499998,-7.699999807,2018-06-07,-0.043539479,2.490700245,,,
2018-06-01,311.4,313.3,1.899999983,2018-06-08,2.345377445,0.610147715,,,
2018-06-04,313.15,316.15,2.999999972,2018-06-11,0.940832078,0.958007336,,,
2018-06-05,313.75,315.6500001,1.900000057,2018-06-12,1.058460593,0.605577707,,,
2018-06-06,313.75,315.6500001,1.900000057,2018-06-13,0.626991868,0.605577707,,,
2018-06-07,316.85,310.3999999,-6.450000132,2018-06-14,0.388035327,-2.035663605,,,
2018-06-08,313.3,309.1999999,-4.100000129,2018-06-15,0.139131173,-1.308649898,,,
2018-06-11,316.15,305.8499999,-10.30000009,2018-06-18,0.353188455,-3.257947206,,,
2018-06-12,315.65,301.3500007,-14.29999926,2018-06-19,0.687694967,-4.530333996,,,
2018-06-13,315.65,304.2,-11.44999998,2018-06-20,0.644036651,-3.627435446,,,
2018-06-14,310.4,300.7500001,9.649999916,2018-06-21,-1.413421631,-3.108891726,,,
2018-06-15,309.2,303.6499998,-5.55000017,2018-06-22,0.170162782,-1.794954777,,,
2018-06-18,305.85,303.25,-2.599999983,2018-06-25,1.743907213,-0.850089908,,,
2018-06-19,301.35,302.4,1.050000025,2018-06-26,2.485128403,0.348432064,,,
2018-06-20,304.2,301.5500001,-2.649999912,2018-06-27,0.897448778,-0.871137381,,,
2018-06-21,300.75,299.0999999,-1.650000062,2018-06-28,1.658075809,-0.548628449,,,
2018-06-22,303.65,299.9999999,-3.650000121,2018-06-29,1.454483032,-1.202041864,,,
2018-06-25,303.25,292.8999998,-10.35000019,2018-07-02,1.135490179,-3.413025618,,,
2018-06-26,302.4,293.7499998,-8.650000168,2018-07-03,2.393604755,-2.860449791,,,
2018-06-27,301.55,292.5500003,-8.999999673,2018-07-04,0.35648337,-2.984579563,,,
2018-06-28,299.1,291.9999997,-7.100000262,2018-07-05,2.105473518,-2.373788118,,,
